lectin_id,lectin_name,lectin_origin,lectin_species,lectin_uniprot,lectin_pdb,glycan_id,glycan_iupac,glycan_glytoucan_id,glycan_monosac_composition,binding_value,binding_unit,binding_source,binding_confidence,binding_source_metadata_json
452,Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein) (GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen),Animal lectins,Homo sapiens,P17931,1A3K,,Gal(b1-4)GlcNAc,G51331BY,"Gal:1,Glc:1,GlcNAc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1A3K"", ""resolution"": ""2.1""}"
453,Galectin-1 (Gal-1),Animal lectins,Bufo arenarum,P56217,1A78,,Gal,G68158BT,Gal:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1A78"", ""resolution"": ""2.0""}"
454,Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)],Bacterial lectins,Clostridium tetani,P04958,1A8D,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1A8D"", ""resolution"": ""1.57""}"
455,Abrin-a [Cleaved into: Abrin-a A chain (EC 3.2.2.22) (rRNA N-glycosidase); Linker peptide; Abrin-a B chain],Plant lectins,Abrus precatorius,P11140,1ABR,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1ABR"", ""resolution"": ""2.14""}"
456,Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)],Bacterial lectins,Clostridium tetani,P04958,1AF9,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1AF9"", ""resolution"": ""2.7""}"
457,Mannose-binding protein A (MBP-A) (Mannan-binding protein),Animal lectins,Rattus norvegicus,P19999,1AFA,,Gal,G68158BT,Gal:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1AFA"", ""resolution"": ""2.0""}"
458,Mannose-binding protein A (MBP-A) (Mannan-binding protein),Animal lectins,Rattus norvegicus,P19999,1AFB,,GalNAc,G27025MB,"Gal:1,GalNAc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1AFB"", ""resolution"": ""1.9""}"
459,Mannose-binding protein A (MBP-A) (Mannan-binding protein),Animal lectins,Rattus norvegicus,P19999,1AFD,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1AFD"", ""resolution"": ""2.0""}"
460,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1APN,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1APN"", ""resolution"": ""2.5""}"
461,Lectin (ECorL),Plant lectins,Erythrina corallodendron,P16404,1AX0,,GalNAc,G27025MB,"Gal:1,GalNAc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1AX0"", ""resolution"": ""1.9""}"
462,Lectin (ECorL),Plant lectins,Erythrina corallodendron,P16404,1AX1,,Gal(b1-4)Glc,G74621DY,"Gal:1,Glc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1AX1"", ""resolution"": ""1.95""}"
463,Lectin (ECorL),Plant lectins,Erythrina corallodendron,P16404,1AX2,,Gal(b1-4)GlcNAc,G51331BY,"Gal:1,Glc:1,GlcNAc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1AX2"", ""resolution"": ""1.95""}"
464,Lectin (ECorL),Plant lectins,Erythrina corallodendron,P16404,1AXY,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1AXY"", ""resolution"": ""1.95""}"
465,Lectin (ECorL),Plant lectins,Erythrina corallodendron,P16404,1AXZ,,Gal,G68158BT,Gal:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1AXZ"", ""resolution"": ""1.95""}"
466,Concanavalin-Br (Con Br),Plant lectins,Canavalia brasiliens,P55915,1AZD,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1AZD"", ""resolution"": ""3.0""}"
467,Pulmonary surfactant-associated protein D (PSP-D) (SP-D) (Collectin-7) (Lung surfactant protein D),Animal lectins,Homo sapiens,P35247,1B08,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1B08"", ""resolution"": ""2.3""}"
468,C-reactive protein [Cleaved into: C-reactive protein(1-205)],Animal lectins,Homo sapiens,P02741,1B09,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1B09"", ""resolution"": ""2.5""}"
469,Lectin SCAman (Fragment),Plant lectins,Scilla campanulata,Q9ZP49,1B2P,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1B2P"", ""resolution"": ""1.7""}"
470,Mannose-binding protein A (MBP-A) (Mannan-binding protein),Animal lectins,Rattus norvegicus,P19999,1BCH,,GalNAc,G27025MB,"Gal:1,GalNAc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1BCH"", ""resolution"": ""2.0""}"
471,Mannose-binding protein A (MBP-A) (Mannan-binding protein),Animal lectins,Rattus norvegicus,P19999,1BCJ,,GalNAc,G27025MB,"Gal:1,GalNAc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1BCJ"", ""resolution"": ""2.1""}"
