ligand_id,iupac,glycoct,glytoucan_id,monosac_composition
G51331BY,Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d",G51331BY,"Gal:1,Glc:1,GlcNAc:1"
G68158BT,Gal,"RES
1b:x-dgal-HEX-1:5",G68158BT,Gal:1
nan,nan,nan,nan,
G27025MB,GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
LIN
1:1d(2+1)2n",G27025MB,"Gal:1,GalNAc:1"
G74621DY,Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d",G74621DY,"Gal:1,Glc:1"
G70323CJ,Man,"RES
1b:x-dman-HEX-1:5",G70323CJ,Man:1
G29313LW,Man(a1-2)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
LIN
1:1o(2+1)2d",G29313LW,Man:2
G57306WK,Man(a1-3)Man(a1-3)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(3+1)3d",G57306WK,Man:3
G07490EK,Man(a1-3)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d",G07490EK,Man:2
G15021LG,Glc,"RES
1b:x-dglc-HEX-1:5",G15021LG,Glc:1
