lectin_id,pdb,protein_name,uniprot,origin,species,species_id,fold,class,family,resolution,ligand,monosac,iupac,glycoct,glytoucan_id,timestamp_download
452,1A3K,Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein) (GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen),P17931,Animal lectins,Homo sapiens,97,b-sandwich / ConA-like,galectin-like,galectin-3,2.1,bGal14GlcNAc,"D-Galp, D-GlcpNAc",Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d",G51331BY,2026-01-06T19:41:38Z
453,1A78,Galectin-1 (Gal-1),P56217,Animal lectins,Bufo arenarum,99,b-sandwich / ConA-like,galectin-like,toad galectin,2.0,bGal1S1bGal,D-Galp,Gal,"RES
1b:x-dgal-HEX-1:5",G68158BT,2026-01-06T19:41:38Z
454,1A8D,Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)],P04958,Bacterial lectins,Clostridium tetani,103,b-trefoil,Clostridial toxin,TeNT,1.57,,,,,,2026-01-06T19:41:38Z
455,1ABR,Abrin-a [Cleaved into: Abrin-a A chain (EC 3.2.2.22) (rRNA N-glycosidase); Linker peptide; Abrin-a B chain],P11140,Plant lectins,Abrus precatorius,107,b-trefoil,Ricin-like,"Abrus agglutinin,abrin-a",2.14,,,,,,2026-01-06T19:41:38Z
456,1AF9,Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)],P04958,Bacterial lectins,Clostridium tetani,103,b-trefoil,Clostridial toxin,TeNT,2.7,,,,,,2026-01-06T19:41:38Z
457,1AFA,Mannose-binding protein A (MBP-A) (Mannan-binding protein),P19999,Animal lectins,Rattus norvegicus,110,a/b mixed / C-type lectin-like,C-type lectin,MBP-A / MBL1,2.0,bGalOMe,D-Galp,Gal,"RES
1b:x-dgal-HEX-1:5",G68158BT,2026-01-06T19:41:38Z
458,1AFB,Mannose-binding protein A (MBP-A) (Mannan-binding protein),P19999,Animal lectins,Rattus norvegicus,110,a/b mixed / C-type lectin-like,C-type lectin,MBP-A / MBL1,1.9,GalNAc,D-GalpNAc,GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
LIN
1:1d(2+1)2n",G27025MB,2026-01-06T19:41:38Z
459,1AFD,Mannose-binding protein A (MBP-A) (Mannan-binding protein),P19999,Animal lectins,Rattus norvegicus,110,a/b mixed / C-type lectin-like,C-type lectin,MBP-A / MBL1,2.0,,,,,,2026-01-06T19:41:38Z
460,1APN,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,2.5,,,,,,2026-01-06T19:41:38Z
461,1AX0,Lectin (ECorL),P16404,Plant lectins,Erythrina corallodendron,115,b-sandwich / ConA-like,L-type (legume lectin),EcorL and ECL,1.9,GalNAc,D-GalpNAc,GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
LIN
1:1d(2+1)2n",G27025MB,2026-01-06T19:41:38Z
462,1AX1,Lectin (ECorL),P16404,Plant lectins,Erythrina corallodendron,115,b-sandwich / ConA-like,L-type (legume lectin),EcorL and ECL,1.95,bGal14Glc,"D-Galp, D-Glcp",Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d",G74621DY,2026-01-06T19:41:38Z
463,1AX2,Lectin (ECorL),P16404,Plant lectins,Erythrina corallodendron,115,b-sandwich / ConA-like,L-type (legume lectin),EcorL and ECL,1.95,bGal14GlcNAc,"D-Galp, D-GlcpNAc",Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d",G51331BY,2026-01-06T19:41:38Z
464,1AXY,Lectin (ECorL),P16404,Plant lectins,Erythrina corallodendron,115,b-sandwich / ConA-like,L-type (legume lectin),EcorL and ECL,1.95,,,,,,2026-01-06T19:41:38Z
465,1AXZ,Lectin (ECorL),P16404,Plant lectins,Erythrina corallodendron,115,b-sandwich / ConA-like,L-type (legume lectin),EcorL and ECL,1.95,Gal,D-Galp,Gal,"RES
1b:x-dgal-HEX-1:5",G68158BT,2026-01-06T19:41:38Z
466,1AZD,Concanavalin-Br (Con Br),P55915,Plant lectins,Canavalia brasiliens,117,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,3.0,,,,,,2026-01-06T19:41:38Z
467,1B08,Pulmonary surfactant-associated protein D (PSP-D) (SP-D) (Collectin-7) (Lung surfactant protein D),P35247,Animal lectins,Homo sapiens,97,a/b mixed / C-type lectin-like,C-type lectin,SP-D,2.3,,,,,,2026-01-06T19:41:38Z
468,1B09,C-reactive protein [Cleaved into: C-reactive protein(1-205)],P02741,Animal lectins,Homo sapiens,97,b-sandwich / ConA-like,Pentraxin,C-reactive protein,2.5,,,,,,2026-01-06T19:41:38Z
469,1B2P,Lectin SCAman (Fragment),Q9ZP49,Plant lectins,Scilla campanulata,123,b-prism II,Monocot-lectin like,SCA-Man,1.7,,,,,,2026-01-06T19:41:38Z
470,1BCH,Mannose-binding protein A (MBP-A) (Mannan-binding protein),P19999,Animal lectins,Rattus norvegicus,110,a/b mixed / C-type lectin-like,C-type lectin,MBP-A / MBL1,2.0,GalNAc,D-GalpNAc,GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
LIN
1:1d(2+1)2n",G27025MB,2026-01-06T19:41:38Z
471,1BCJ,Mannose-binding protein A (MBP-A) (Mannan-binding protein),P19999,Animal lectins,Rattus norvegicus,110,a/b mixed / C-type lectin-like,C-type lectin,MBP-A / MBL1,2.1,GalNAc,D-GalpNAc,GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
LIN
1:1d(2+1)2n",G27025MB,2026-01-06T19:41:38Z
472,1BCP,Pertussis toxin subunit 4 (PTX S4) (Islet-activating protein S4) (IAP S4),P0A3R5,Bacterial lectins,Bordetella pertussis,126,a/b OB-fold,Pertussis toxin AB5,pertussis toxin,2.7,,,,,,2026-01-06T19:41:38Z
473,1BJQ,Seed lectin subunit I (SL) [Cleaved into: Seed lectin subunit II],P05045,Plant lectins,Dolichos biflorus (Vigna unguiculata),128,b-sandwich / ConA-like,L-type (legume lectin),Dolichos biflorus DBL and DB58,2.65,adenine,,,,,2026-01-06T19:41:38Z
474,1BKZ,Galectin-7 (Gal-7) (HKL-14) (PI7) (p53-induced gene 1 protein),P47929,Animal lectins,Homo sapiens,97,b-sandwich / ConA-like,galectin-like,galectin-7,1.9,,,,,,2026-01-06T19:41:38Z
476,1BQP,Lectin [Cleaved into: Lectin beta chain; Lectin alpha chain],P02867,Plant lectins,Pisum sativum,133,b-sandwich / ConA-like,L-type (legume lectin),"favin, LOL, pea, lens",2.1,Man,D-Manp,Man,"RES
1b:x-dman-HEX-1:5",G70323CJ,2026-01-06T19:41:38Z
477,1BUU,Mannose-binding protein A (MBP-A) (Mannan-binding protein),P19999,Animal lectins,Rattus norvegicus,110,a/b mixed / C-type lectin-like,C-type lectin,MBP-A / MBL1,1.9,,,,,,2026-01-06T19:41:38Z
478,1BV4,Mannose-binding protein C (MBP-C) (Mannan-binding protein) (Ra-reactive factor polysaccharide-binding component p28A) (RaRF p28A),P08661,Animal lectins,Rattus norvegicus,110,a/b mixed / C-type lectin-like,C-type lectin,MBP-C / MBL2,1.85,,,,,,2026-01-06T19:41:38Z
479,1BWU,I lectin (Fragment),Q38789,Plant lectins,Allium sativum,135,b-prism II,Monocot-lectin like,garlic,2.8,aMan,D-Manp,Man,"RES
1b:x-dman-HEX-1:5",G70323CJ,2026-01-06T19:41:38Z
480,1BXH,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,2.75,aMan12aManOMe,D-Manp,Man(a1-2)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
LIN
1:1o(2+1)2d",G29313LW,2026-01-06T19:41:38Z
481,1BYF,Lectin,P16108,Animal lectins,Polyandrocarpa misakiensis,137,a/b mixed / C-type lectin-like,C-type lectin,TC14 / tunicate,2.0,glycerol,,,,,2026-01-06T19:41:38Z
